
> jack-3d-portfolio@0.1.0 dev
> vite --host 127.0.0.1 --host 127.0.0.1 --port 5173


  VITE v7.3.6  ready in 425 ms
01:28:44 [vite] (client) page reload 三维视频/H106粉色.mp4
01:28:45 [vite] (client) page reload 三维视频/H608视频.mp4
01:28:45 [vite] (client) page reload 三维视频/H6112024119.mp4
01:28:46 [vite] (client) page reload 三维视频/英国烟油视频.mp4
02:06:01 [vite] (client) hmr update /src/App.tsx
02:06:22 [vite] (client) hmr update /src/App.tsx
02:06:41 [vite] (client) hmr update /src/App.tsx
02:06:51 [vite] (client) hmr update /src/App.tsx
02:08:51 [vite] (client) hmr update /src/App.tsx
02:08:51 [vite] (client) hmr update /src/App.tsx
02:09:04 [vite] (client) hmr update /src/App.tsx
02:09:46 [vite] (client) hmr update /src/App.tsx
02:09:46 [vite] (client) hmr update /src/App.tsx
02:10:00 [vite] (client) hmr update /src/App.tsx
02:10:51 [vite] (client) hmr update /src/App.tsx
02:10:52 [vite] (client) hmr update /src/App.tsx
02:11:00 [vite] (client) hmr update /src/App.tsx
